corpus,ckpt,arm,seed,eval_sub,q,skew,rule,setting,pi_hat,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.5,median,disjoint_eval,0.6150275966,14272,0.4973374439,4.594063728,4.5826783,0.992195065,95.59276906,95.58850237,3.61025927,5.212735982,95.59276906,0,0.9997040629,0,0,4.9257287,1284
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.5,bbse_quantile,available_pool,0.6150275966,22272,0.5,4.62164751,4.63362069,0.9919080882,88.2183908,88.2183908,23.0154454,0.5477729885,95.51005747,7.291666667,0.5641297698,0,0,4.961386494,1568
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.5,bbse_quantile,disjoint_eval,0.6150275966,14272,0.4973374439,4.594063728,4.5826783,0.992195065,88.14461883,88.20472916,23.08335657,0.5071851226,95.59276906,7.448150224,0.5641297698,0,0,4.9257287,1284
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.9,median,available_pool,0.9165830406,111360,0.9,4.587214151,4.587224617,0.9920694526,61.6954023,78.71966794,0,42.56066411,97.20905172,35.51364943,0.9998840094,0,0,9.075071839,1990
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.9,median,disjoint_eval,0.9165830406,103360,0.9000386997,4.56789522,4.566809703,0.9921001871,61.6747291,78.70909834,0,42.58180333,97.20684985,35.53212074,0.9998840094,0,0,9.016060372,1923
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.9,bbse_quantile,available_pool,0.9165830406,111360,0.9,4.587214151,4.587224617,0.9920694526,97.20186782,88.18047573,23.09626437,0.5427841635,97.20905172,0.007183908046,0.4725465477,0,0,9.075071839,1990
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.9,bbse_quantile,disjoint_eval,0.9165830406,103360,0.9000386997,4.56789522,4.566809703,0.9921001871,97.19814241,88.14482291,23.17073171,0.5396224793,97.20684985,0.008707430341,0.4725465477,0,0,9.016060372,1923
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,median,available_pool,0.9716006021,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,59.0597725,78.94433328,0,42.11133345,99.06701462,40.00724212,0.9998840094,0,0,9.824066328,2762
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,median,disjoint_eval,0.9716006021,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,59.10102909,78.96718971,0,42.06562057,99.07053767,39.96950859,0.9998840094,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.05,0,bbse_quantile,available_pool,0.9716006021,400435,0.9721902431,4.513105473,4.510073589,0.9923184435,98.88046749,88.19334213,23.12320402,0.4901117136,99.06701462,0.18654713,0.4509344697,0,0,9.824066328,2762
